algorithm,timestamp,python_version,numpy_version,scikit_learn_version,seed,grid_size,k_predict,dataset,s_norm,real_error,baseline_mean,baseline_std,baseline_median,baseline_ci_lower,baseline_ci_upper,ratio,gated,runtime_ms
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,1_ideal_coherent,0.8715446568789308,0.3763793372359239,0.5093761953658604,0.03143296919480914,0.5058805201863047,0.45745020232644956,0.5753296914488254,0.7389024863354455,0,197.02569999935804
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,2_phase_noise_0.8,2.251927876694311,1.362845491656519,1.210160872638864,0.062975901031166,1.206717990363921,1.1032134165173297,1.3449454489860828,1.126168861074406,0,206.2934999994468
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,3_thermal_source,2.51618645591361,1.2874567261515746,1.1845276900911177,0.06801172237062128,1.1842323862251063,1.0664233639335905,1.3192003628168618,1.0868945799422716,0,214.50199999890174
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.29510000240406953
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,5_pink_noise,0.7203920825983027,0.23947738716429345,0.2286219308614412,0.014146984080951542,0.2302307974816306,0.19774283762306877,0.2564554808099373,1.0474821302661088,0,207.8867000018363
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,15,6_white_noise,2.331509517880563,1.229514099010138,1.0883541567995707,0.059836258016340876,1.0878079386585027,0.9694298746455413,1.1876011268927928,1.1297003749456558,0,200.89789999838104
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,1_ideal_coherent,0.8715446568789308,0.4377980558012792,0.5162660088881504,0.031072708253563293,0.5138290802879658,0.45650074087478854,0.5710719878633687,0.8480086782086181,0,206.5705999993952
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,2_phase_noise_0.8,2.251927876694311,1.3476719711125291,1.2173241341582715,0.07569379675905022,1.2233481059559748,1.0469406226065898,1.3316553921715923,1.1070773455455951,0,204.67509999798494
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,3_thermal_source,2.51618645591361,1.2656882540547825,1.172631900050805,0.060337989690434884,1.165979393890559,1.0650548078805273,1.2810815803888183,1.07935683312039,0,201.81800000136718
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.1975999985006638
